Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT2,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm_CustomCourtyard,101.93,-35.44,180,bottom
C1,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,96.48,-31.8625,90,top
C2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.58,-31.87,90,top
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,96.85,-38.01,-90,top
D1,GREEN_LED,LED_0402_1005Metric,98.38,-39.935,90,top
D2,RED_LED,LED_0402_1005Metric,104.84,-39.945,90,top
J1,12402012E212A,AMPHENOL_12402012E212A,112.57,-35.98,90,top
Q1,PMOS,DMP3099L-7,96.9755,-35,-90,top
Q2,FS8205A,SOT-23-6,101.5575,-42.92,180,top
R1,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,98.66,-31.87,90,top
R2,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,105.99,-37.77,90,top
R3,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,105.96,-33.05,90,top
R4,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,103.12,-40.42,180,top
R5,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,100.0825,-40.42,0,top
R6,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,102.9925,-31.86,180,top
R7,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.61,-41.1525,90,top
R9,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,95.7,-37.9975,-90,top
R10,100k,R_0402_1005Metric,100.825,-31.8762,180,top
U1,AP2112K-3.3,SOT-23-5,107.58,-28.7325,90,top
U2,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,101.6425,-29.07,90,top
U3,TP4056,SO08-PAD-300,101.655,-36.1362,180,top
U4,DW01A,SOT95P280X145-6N,94.98,-42.155,90,top
