Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm_CustomCourtyard,122.1,-70.28363,180,bottom
BT2,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm_CustomCourtyard,64.35,-70.2,180,bottom
C1,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,58.9,-66.6225,90,top
C2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,60,-66.63,90,top
C3,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7,-64.27,0,top
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7025,-63.19,0,top
C8,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7125,-65.34,0,top
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,59.27,-72.77,-90,top
D1,GREEN_LED,LED_0402_1005Metric,60.8,-74.695,90,top
D2,RED_LED,LED_0402_1005Metric,67.26,-74.705,90,top
D3,RED_LED,LED_0402_1005Metric,130.575,-73.77,0,top
D4,GREEN_LED,LED_0402_1005Metric,120.285,-75.53,180,top
J1,12402012E212A,AMPHENOL_12402012E212A,74.99,-70.74,90,top
Q1,PMOS,DMP3099L-7,59.3955,-69.76,-90,top
Q2,FS8205A,SOT-23-6,63.9775,-77.68,180,top
R1,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,61.08,-66.63,90,top
R2,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,68.41,-72.53,90,top
R3,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,68.38,-67.81,90,top
R4,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,65.54,-75.18,180,top
R5,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,62.5025,-75.18,0,top
R6,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,65.4125,-66.62,180,top
R7,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,55.03,-75.9125,90,top
R9,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,58.12,-72.7575,-90,top
R10,100k,R_0402_1005Metric,63.245,-66.6362,180,top
R11,470,R_0402_1005Metric,130.57,-72.62,0,top
R12,470,R_0402_1005Metric,120.28,-74.41,0,top
R13,100k,R_0402_1005Metric,114.28,-68.01,180,top
S1,4.50404E+11,4.50404E+11,124.35,-77.93,180,top
U1,AP2112K-3.3,SOT-23-5,70,-63.4925,90,top
U2,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,64.0625,-63.83,90,top
U3,TP4056,SO08-PAD-300,64.075,-70.8962,180,top
U4,DW01A,SOT95P280X145-6N,57.4,-76.915,90,top
U5,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,114.5325,-70.68,-90,top
U8,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,125.44,-70.03,0,top
