Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm_CustomCourtyard,115.91,-70.46363,180,bottom
C3,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.54,-66.54,0,top
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.55,-67.65,0,top
C5,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.5175,-62.13,180,top
C6,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.57,-64.73,-40,top
C7,10pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.04351,-64.592743,-131.16,top
C8,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.54,-68.76,0,top
D3,RED_LED,LED_0402_1005Metric,124.125,-71.62,180,top
D4,GREEN_LED,LED_0402_1005Metric,113.4,-74.61,-90,top
R11,470,R_0402_1005Metric,124.14,-72.73,0,top
R12,470,R_0402_1005Metric,112.31,-74.61,90,top
R13,100k,R_0402_1005Metric,106.37,-67.63,180,top
R14,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,122.8625,-62.14,180,top
R15,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,111.4725,-62.12,0,top
RST,SW_Push,SW_B3U-1000P,121.8975,-64.2,180,top
U5,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,107.3925,-70.36,-90,top
U8,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,118.14,-70.15,0,top
Y1,XRCGB40M000F1S1BR0,OSC_XRCGB40M000F1S1BR0,116.575454,-63.392824,-130.08,top
